"nid","vid","type","language","title","uid","status","created","changed","comment","promote","moderate","sticky","tnid","translate"
140,140,"rough_cover","","December 1991",1,1,1226078997,1226078997,0,0,0,-100,0,0
141,141,"rough_cover","","November 1991",1,1,1226079043,1226079043,0,0,0,-100,0,0
142,142,"rough_cover","","April 1992",1,1,1226079074,1226079074,0,0,0,-100,0,0
143,143,"rough_cover","","December 1992",1,1,1226079133,1226079133,0,0,0,-100,0,0
144,144,"rough_cover","","February 1992",1,1,1226079168,1226079168,0,0,0,-100,0,0
145,145,"rough_cover","","January 1992",1,1,1226079194,1226079194,0,0,0,-100,0,0
146,146,"rough_cover","","March 1992",1,1,1226079226,1226079226,0,0,0,-100,0,0
147,147,"rough_cover","","May 1992",1,1,1226079257,1226079257,0,0,0,-100,0,0
148,148,"rough_cover","","November 1992",1,1,1226079298,1226079298,0,0,0,-100,0,0
149,149,"rough_cover","","October 1992",1,1,1226079338,1226079338,0,0,0,-100,0,0
150,150,"rough_cover","","September 1992",1,1,1226079378,1226079378,0,0,0,-100,0,0
151,151,"rough_cover","","April 1993",1,1,1226079440,1226079440,0,0,0,-100,0,0
152,152,"rough_cover","","August 1993",1,1,1226079472,1226079472,0,0,0,-100,0,0
153,153,"rough_cover","","December 1993",1,1,1226079505,1226079505,0,0,0,-100,0,0
154,154,"rough_cover","","February 1993",1,1,1226079790,1226079790,0,0,0,-100,0,0
155,155,"rough_cover","","January 1993",1,1,1226079831,1226079831,0,0,0,-100,0,0
156,156,"rough_cover","","May 1993",1,1,1226079865,1226079865,0,0,0,-100,0,0
157,157,"rough_cover","","November 1993",1,1,1226079914,1226079914,0,0,0,-100,0,0
158,158,"rough_cover","","October 1993",1,1,1226080023,1226080023,0,0,0,-100,0,0
159,159,"rough_cover","","April 1994",1,1,1226080257,1226080257,0,0,0,-100,0,0
160,160,"rough_cover","","December 1994",1,1,1226080319,1226080319,0,0,0,-100,0,0
161,161,"rough_cover","","February 1994",1,1,1226080352,1226080352,0,0,0,-100,0,0
162,162,"rough_cover","","January 1994",1,1,1226080379,1226080379,0,0,0,-100,0,0
163,163,"rough_cover","","March 1994",1,1,1226080405,1226080405,0,0,0,-100,0,0
164,164,"rough_cover","","May 1994",1,1,1226080442,1226080442,0,0,0,-100,0,0
165,165,"rough_cover","","November 1994",1,1,1226080479,1226080479,0,0,0,-100,0,0
166,166,"rough_cover","","October 1994",1,1,1226080576,1226080576,0,0,0,-100,0,0
167,167,"rough_cover","","September 1994",1,1,1226080616,1226080616,0,0,0,-100,0,0
168,168,"rough_cover","","April 1995 Front Cover",1,1,1226081035,1226081035,0,0,0,-100,0,0
169,169,"rough_cover","","April 1995 Slip Cover",1,1,1226081065,1226081065,0,0,0,-100,0,0
